,station_id,name,lat,lon,address,nearby_distance,capacity,_ride_code_support,is_charging_station,rent_key,rent_phone,rent_transit_card,rent_credit_card
469,7570,Carlaw Ave / Dundas St E,43.665076,-79.341509,Carlaw Ave / Dundas St E,1609.34,17,True,False,True,True,True,True
470,7571,Highfield Rd / Gerrard St E,43.671771,-79.324961,Highfield Rd / Gerrard St E,1609.34,19,True,False,True,True,True,True
471,7572,Cosburn Ave / Durant Ave,43.6935477,-79.3301658,Cosburn Ave / Durant Ave,1609.34,15,True,False,True,True,True,True
472,7575,Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,207 Eastern Avenue,1609.34,15,True,False,True,True,True,True
473,7576,Front St E / Bayview Avenue,43.6535,-79.354068,Front St E / Bayview Avenue,1609.34,22,True,False,True,True,True,True
474,7577,Oak St / Sumach St,43.6617908,-79.361515,Oak St / Sumach St,1609.34,27,True,False,True,True,True,True
475,7579,Glebe Rd W / Yonge St,43.7005976,-79.397345,Glebe Rd / Yonge St,1609.34,19,True,False,True,True,True,True
476,7580,Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,Hillsdale Ave W / Yonge St,1609.34,15,True,False,True,True,True,True
477,7581,High Park Ave / Dundas St W,43.6653032,-79.4701178,345 High Park Ave,1609.34,15,True,False,True,True,True,True
478,7582,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,Amaleda Ave / Vaughan Rd,1609.34,16,True,False,True,True,False,True
479,7583,Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,Eglinton Ave W / Scarlett Rd,1609.34,22,True,False,True,True,True,True
480,7584,The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,The Pond Rd / Sentinel Rd,1609.34,27,True,False,True,True,True,True
481,7585,Sentinel Rd / Finch Hydro Corridor,43.7641485,-79.5012809,Sentinel Rd / Finch Hydro Corridor,1609.34,27,True,False,True,True,True,True
482,7586,Finch West Subway Station,43.76521,-79.491281,Finch West Subway Station,1609.34,23,True,False,True,True,True,True
483,7587,Dufferin St / Finch Hydro Recreational Trail,43.7724019,-79.4675395,Dufferin St / Finch Hydro Recreational Trail,1609.34,19,True,False,True,True,True,True
484,7588,G Ross Lord Park,43.7781116,-79.467963,G Ross Lord Park,1609.34,19,True,False,True,True,True,True
485,7589,Torresdale Ave / Antibes Dr,43.77953,-79.45233,Torresdale Ave / Antibes Dr,1609.34,15,True,False,True,True,True,True
486,7590,Esther Shiner Stadium,43.7774374,-79.4447096,Ester Shiner Stadium,1609.34,23,True,False,True,True,True,True
487,7591,Elwood Blvd / Avenue Rd,43.707049,-79.40966,Elwood Blvd / Avenue Rd,1609.34,23,True,False,True,True,True,True
488,7593,Roehampton St / Bayview Ave,43.711751,-79.378615,Roehampton St / Bayview Ave,1609.34,27,True,False,True,True,True,True
489,7594,Fleming Cres / Bayview Ave,43.707045,-79.375437,Fleming Cres / Bayview Ave,1609.34,15,True,False,True,True,True,True
490,7595,Moore Park,43.693256,-79.383238,Moore Park,1609.34,14,True,False,True,True,True,True
491,7596,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,840 Danforth Ave,1609.34,16,True,False,True,True,False,True
492,7597,Yonge St / Golfdale Rd,43.732016,-79.403637,Yonge St / Golfdale Rd,1609.34,15,True,False,True,True,True,True
493,7598,Teddington Park Ave,43.732975,-79.40401,Teddington Park Ave,1609.34,15,True,False,True,True,True,True
494,7599,Richmond St W / York St,43.650745,-79.383633,Richmond St W / York St,1609.34,17,True,False,True,True,True,True
495,7600,Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,Ursula Franklin St / Huron St,1609.34,20,True,False,True,True,False,True
496,7601,Brick Works,43.683884,-79.36647,Brick Works,1609.34,25,True,False,True,True,True,True
497,7602,Woodbine Ave / O'Connor Dr,43.699281,-79.318802,Woodbine Ave / O'Connor Dr,1609.34,19,True,False,True,True,True,True
498,7603,O'Connor Dr / Curity Ave - Smart,43.707582,-79.311439,O'Connor Dr / Curity Ave,1609.34,24,True,False,True,True,False,True
499,7604,St Columba Pl / St Clair Ave E,43.70567,-79.310554,St Columba Pl / St Clair Ave E,1609.34,18,True,False,True,True,True,True
500,7605,Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,Lumsden Ave / Eastdale Ave,1609.34,20,True,False,True,True,True,True
501,7606,Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,Dawes Rd / Taylor Creek Trl,1609.34,19,True,False,True,True,True,True
502,7607,Fairmount Park,43.6765897,-79.3163022,Fairmount Park,1609.34,19,True,False,True,True,True,True
503,7608,Wilket Creek Park,43.720645,-79.355474,Wilket Creek Park,1609.34,27,True,False,True,True,True,True
504,7609,Sunnybrook Park,43.720233,-79.362092,Sunnybrook Park,1609.34,27,True,False,True,True,True,True
505,7610,Kingston Rd / Beech Ave,43.680095,-79.291714,Kingston Rd / Beech Ave,1609.34,15,True,False,True,True,True,True
506,7611,Victoria Park Ave / Danforth Ave,43.691468,-79.288619,Victoria Park Ave / Danforth Ave,1609.34,18,True,False,True,True,True,True
507,7612,Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,Livingston Rd / Guildwood Pkwy,1609.34,19,True,False,True,True,True,True
508,7613,Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,Livingston Rd (Highland Creek Trail),1609.34,19,True,False,True,True,True,True
509,7614,Morningside Park (Highland Creek Trail),43.779353,-79.193023,Morningside Park (Highland Creek Trail),1609.34,23,True,False,True,True,True,True
510,7615,Colonel Danforth Park,43.7777114,-79.1659711,Colonel Danforth Park,1609.34,19,True,False,True,True,True,True
511,7616,Waterfront Trail (Rouge Hill),43.778015,-79.131911,Waterfront Trail (Rouge Hill),1609.34,19,True,False,True,True,True,True
512,7617,Starspray Ave / Lawrence Ave E,43.788319,-79.123505,Starspray Ave / Lawrence Ave E,1609.34,19,True,False,True,True,True,True
513,7618,Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,Vaughan Rd / Oakwood Ave,1609.34,19,True,False,True,True,True,True
514,7619,Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,Braemar Ave / Eglinton Ave W,1609.34,14,True,False,True,True,True,True
515,7620,Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,Eglinton Ave W / Redpath Av,1609.34,15,True,False,True,True,True,True
516,7622,Marie Curtis Park,43.5880774,-79.5432067,Marie Curtis Park,1609.34,23,True,False,True,True,True,True
517,7623,Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,Royal York Rd / Lake Shore Blvd W,1609.34,19,True,False,True,True,True,True
518,7624,Guildwood GO Station (South),43.754978,-79.1971289,Guildwood GO Station (South),1609.34,11,True,False,True,True,True,True
519,7625,Yonge St / Lawrence Ave,43.7254665,-79.40115449999999,24 Lawrence Ave East,1000.0,23,True,False,True,True,True,True
520,7626,Rouge Hill GO Station,43.7805505,-79.1301203,Rouge Hill GO Station,1609.34,25,True,False,True,True,True,True
521,7627,Shaw St / Essex St - SMART,43.667076,-79.425116,Shaw St / Essex St - SMART,1609.34,15,True,False,True,True,False,True
522,7629,Lundy Ave / Etienne Brule Park,43.6625395,-79.5030161,Lundy Ave / Etienne Brule Park,1609.34,15,True,False,True,True,True,True
