station_id,name,lat,lon,address,nearby_distance,rental_methods,capacity,_ride_code_support,is_charging_station
7101,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,Lower Sherbourne St / The Esplanade,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7102,Nelson St / Duncan St,43.648711,-79.389728,Nelson St / Duncan St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",31,True,False
7103,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,Jimmie Simpson Park (Queen St E),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7104,King St E / River St,43.656784782853144,-79.35627385059036,King St E / River St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7105,Queen St E / Sackville St,43.6561111,-79.36138888888888,Queen St E / Sackville St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7106,Mill St / Tannery Rd,43.652219,-79.354455,Mill St / Tannery Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7107,Cherry St / Distillery Ln,43.650279,-79.356832,Cherry St / Distillery Ln,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7108,Front St E / Cherry St,43.652686,-79.358395,Front St E / Cherry St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7109,Seaton St / Dundas St E - SMART,43.658777,-79.369596,Seaton St / Dundas St E,500.0,"['KEY', 'TRANSITCARD', 'PHONE']",32,True,False
7110,Queen St E / Berkeley St,43.6552778,-79.36583333333333,Queen St E / Berkeley St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7111,King St W / Douro St,43.640885,-79.416379,King St W / Douro St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,Liberty St / Fraser Ave Green P,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7114,Carlton St / Parliament St,43.664524,-79.36793,Carlton St / Parliament St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7115,Howard St / Sherbourne St,43.6712581,-79.376367,Howard St / Sherbourne St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7117,640 Bloor Street E,43.67468857448634,-79.36701962396272,640 Bloor Street East,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7118,King St W / Bay St (East Side),43.648575,-79.380042,King St W / Bay St (East Side),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7119,Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,Sumach St / Carlton St (Riverdale Farm),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",14,True,False
7120,Gerrard St E / River St,43.663993,-79.358534,Gerrard St E / River St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7121,Jarvis St / Dundas St E,43.657266,-79.374756,Jarvis St / Dundas St E,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7122,Niagara St / Tecumseth St,43.641389,-79.404444,Niagara St / Tecumseth St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7123,424 Wellington St W,43.643834,-79.396649,424 Wellington St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7124,Dundas St E / Broadview Ave,43.662365,-79.351104,Dundas St E / Broadview Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7126,Yonge St / Yorkville Ave,43.671944,-79.387778,Yonge St / Yorkville Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",17,True,False
7127,Bay St / Scollard St,43.672152,-79.39018,Bay St / Scollard St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7128,Yonge St / Aylmer Ave,43.675492,-79.388858,Yonge St / Aylmer Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7129,Davenport Rd / Avenue Rd,43.674991,-79.396273,Davenport Rd / Avenue Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7130,Davenport Rd / Bedford Rd,43.674446,-79.398331,Davenport Rd / Bedford Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7131,Taddle Creek Park,43.66986,-79.398443,Taddle Creek Park,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,Kendal Ave / Spadina Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",9,True,False
7133,Summerhill Subway Station,43.681944,-79.390556,Summerhill Station,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7135,Hanna Ave / Liberty St,43.63840090000001,-79.4197107,Hanna Ave / Liberty St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",17,True,False
7136,Queen St W / Close Ave,43.640634,-79.435841,Queen St W / Close Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7137,Davenport Rd / Bathurst St,43.676667,-79.416111,Davenport Rd / Bathurst St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7138,Davenport Rd / Christie St,43.675278,-79.423889,Davenport Rd / Christie St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,Glen Edyth Dr / Davenport Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7140,Macpherson Ave / Spadina Rd,43.675791,-79.40698,Macpherson Ave / Spadina Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7141,Bridgman Ave / Kendal Ave,43.675556,-79.410278,Bridgeman Ave / Kendal Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7142,Bridgman Ave / Bathurst St,43.674444,-79.414722,Bridgeman Ave / Bathurst St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",14,True,False
7143,Kendal Ave / Bernard Ave,43.671513,-79.408317,Kendal Ave / Bernard Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7144,Palmerston Ave / Vermont Ave,43.671389,-79.416389,Palmerston Ave / Vermont Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,Christie St / Benson Ave (Wychwood Barns),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7147,King St W / Fraser Ave,43.6394444,-79.42527777777778,King St W / Fraser Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7148,King St W / Joe Shuster Way,43.639444,-79.423611,King St W / Joe Shuster Way,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7149,Yarmouth Rd / Christie St,43.67,-79.42083333333333,Yarmouth Rd / Christie St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,Dufferin St / Sylvan Av (Dufferin Grove Park),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7151,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,Essex St / Christie St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7152,Ossington Ave / Bloor St W,43.661705,-79.425734,Ossington Ave / Bloor St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7153,Bloor St W / Christie St,43.6638889,-79.41888888888889,Bloor St W / Christie St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7154,Bathurst Subway Station,43.6666667,-79.41166666666668,Bathurst Subway Station,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7155,Bathurst St / Lennox St,43.663808,-79.410491,Bathurst St / Lennox St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7156,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,Salem Ave / Bloor St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7157,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,Dufferin St / Bloor St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",22,True,False
7158,King St W / Stafford St,43.6422222,-79.41111111111111,King St W / Stafford St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7160,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,King St W / Tecumseth St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7161,Beverley St / College St,43.6575,-79.39527777777778,Beverley St / College St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7162,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556,Hayter St / Laplante Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",21,True,False
7163,Yonge St / Wood St,43.6622222,-79.3825,Yonge St / Wood St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7164,Gould St / Yonge St (TMU),43.657424,-79.381019,Gould St / Yonge St (Ryerson University),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7168,Queens Quay / Yonge St,43.641646,-79.375308,Queens Quay / Yonge St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",31,True,False
7169,Front St W / Bay St (North Side),43.646162,-79.378912,Front St W / Bay St (North Side),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7170,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,Spadina Ave / Willcocks St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7171,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,Ontario Place Blvd / Lake Shore Blvd W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,Strachan Ave / Princes' Blvd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7173,Cariboo St / Rail Path,43.66666667,-79.45833333333334,Cariboo St / Rail Path,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7174,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,Bloor St W / Dundas St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7175,HTO Park (Queens Quay W),43.63796,-79.387502,HTO Park (Queens Quay W),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,Bathurst St / Fort York Blvd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7178,Dundas St W / Edna Ave,43.657192,-79.452559,Dundas St W / Edna Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7180,Lansdowne Subway Station,43.6587734,-79.443054,Lansdowne Ave / Wade Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,Lansdowne Ave / Whytock Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7182,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,Sterling Rd / Dundas St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",18,True,False
