station_id,name,lat,lon,address,capacity,ward_id,first_use
7289,Humber Bay Shores Park East,43.6308933,-79.4722622,Humber Bay Shores Park East,23,3,2018-01-02
7291,190 Queens Quay E,43.6451308,-79.36536439999999,Lake Shore Blvd E / Parliament St,15,10,2018-06-15
7292,Granby St / Church St - SMART,43.6614605,-79.37894570000002,Granby St / Church St -SMART,24,13,2018-06-19
7296,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,Westmoreland Ave / Fernbank Ave,19,9,2018-06-20
7297,Havelock St / Dufferin Park,43.657343,-79.43112,Havelock St / Dufferin Park,19,9,2018-06-20
7298,Bathurst St / Adelaide St W,43.645324,-79.40345,Bathurst St / Adelaide St W,25,10,2018-06-20
7299,Mill St / Parliament St,43.650256,-79.36163,Mill St / Parliament St,15,10,2018-06-20
7301,Primrose Ave / Davenport Rd,43.67142,-79.445947,Primrose Ave / Davenport Rd,15,9,2018-06-21
7302,Winona Dr / Davenport Rd,43.674923,-79.430465,Winona Dr / Davenport Rd,11,9,2018-06-21
7303,Queen St E / Woodward Ave,43.665269,-79.319796,Queen St E / Woodward Ave,19,14,2018-06-21
7309,Queen St. E / Rhodes Ave.,43.666224,-79.317693,Queen St. E / Rhodes Ave.,23,14,2018-06-21
7311,Sherbourne St / Isabella St,43.669576,-79.375961,Sherbourne St / Isabella St,19,13,2018-06-22
7312,Amelia St. / Sumach St.,43.66852,-79.363525,Amelia St. / Sumach St.,11,13,2018-06-22
7313,Lower Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,Coxwell Ave /  Lake Shore Blvd E,15,14,2018-06-22
